"trial","mean_acc","cor_with_rest","cor_with_scene","overall_alpha"
9,0.714285714285714,0.326512222571742,0.488006596183493,0.75430879173673
10,0.657142857142857,0.169438690323581,0.39100406319794,0.75430879173673
11,0.685714285714286,0.306501950524166,0.220879430158551,0.75430879173673
12,0.0857142857142857,-0.399646738972719,-0.479836096901943,0.75430879173673
13,0.457142857142857,0.213202742022497,0.0843925872822919,0.75430879173673
14,0.628571428571429,0.146499063980065,0.214336233110739,0.75430879173673
15,0.914285714285714,0.296560082843521,0.351635612996844,0.75430879173673
16,0.971428571428571,0.313849193183398,0.455459219785877,0.75430879173673
17,0.857142857142857,0.299966046193237,0.243214632322817,0.75430879173673
18,0.914285714285714,0.187440190883989,-0.186806419404573,0.75430879173673
19,0.8,0.359890664587289,0.394775254148479,0.75430879173673
20,0.285714285714286,0.349782091318499,0.274645572735826,0.75430879173673
21,0.428571428571429,0.314953700648168,0.0642330143346621,0.75430879173673
22,0.4,0.0203844052092133,0.19046929037329,0.75430879173673
23,0.114285714285714,-0.0645366782909293,-0.0515663481847522,0.75430879173673
24,0.371428571428571,0.248889364906647,0.201603387579408,0.75430879173673
25,0.342857142857143,0.0454649862668438,0.123133876255705,0.75430879173673
26,0.828571428571429,0.0321389197365827,0.008162136758818,0.75430879173673
27,0.628571428571429,0.318154653180697,0.51143596217513,0.75430879173673
28,0.571428571428571,-0.376116073896369,-0.194771075724459,0.75430879173673
29,0.514285714285714,0.172717548782852,0.21131666503579,0.75430879173673
30,0.485714285714286,-0.0153685468186409,0.00410323621428723,0.75430879173673
31,0.485714285714286,0.125621834698809,0.0902711967143179,0.75430879173673
32,0.857142857142857,0.270518000142413,0.181678400048369,0.75430879173673
33,0.742857142857143,0.645362122341291,0.281533807606524,0.75430879173673
34,0.657142857142857,0.28941514005685,0.0583265729632287,0.75430879173673
35,0.228571428571429,0.273776443825021,0.263726709747633,0.75430879173673
36,0.914285714285714,0.518372158006161,0.402915806558884,0.75430879173673
37,0.685714285714286,0.250348383124087,0.189956309936354,0.75430879173673
38,0.714285714285714,0.132122730724324,-0.0363167699485389,0.75430879173673
39,0.314285714285714,0.196921775826835,0.289352053507702,0.75430879173673
40,0.542857142857143,0.0675854601463698,0.00205835578737305,0.75430879173673
41,0.914285714285714,0.537077080267988,0.428555903339903,0.75430879173673
42,0.628571428571429,0.416966866238094,0.229191219563959,0.75430879173673
43,0.228571428571429,-0.0634033826816547,0.178259720477567,0.75430879173673
44,0.942857142857143,0.279680052400232,0.0353407088253681,0.75430879173673
45,0.914285714285714,0.205546018038836,-0.109886129061514,0.75430879173673
46,0.485714285714286,0.238897329484768,0.147716503714338,0.75430879173673
47,0.657142857142857,0.18024684156287,-0.108012172154127,0.75430879173673
48,0.257142857142857,0.158183412484189,-0.0351917259508154,0.75430879173673
49,0.371428571428571,0.281255624087441,0.201603387579408,0.75430879173673
50,0.2,0.0952192567263417,-0.107665978404131,0.75430879173673
51,0.657142857142857,0.525391409655031,0.103691685267962,0.75430879173673
52,0.771428571428571,0.416008193833868,0.214888430164738,0.75430879173673
53,0.8,0.50536953002372,-0.0179443297340217,0.75430879173673
54,0.485714285714286,0.354479713040631,0.248245790964374,0.75430879173673
55,0.285714285714286,0.384849810507986,0.14753687791594,0.75430879173673
